content,score
"I am writing this review to highlight a significant usability issue with the image generation feature in this app. While the feature itself works well and generates high-quality images, the lack of proper image management options is extremely frustrating. Currently, there is no clear way to delete images from the “Created Images” or image library section. Even after deleting the chats where these images were originally generated, the images continue to remain visible in the app. This creates co",1
this is my first time trying to explore this app but I'm good smart to be one of the team members to gain more in the next few years,2
This program is opportunistic and insecure; I absolutely hate it.,1
I have to give to much information for everything,2
it takes slow to edit and it doesn't edit,2
it only tells to upgrade not good,1
"I'm sorry. but this app has a long way to go. As much as love the desktop Codex app, this mobile app is utterly retarded. It refuses to even access public webpages and GitHub repos, hallucinating som B.S. excuse why it can't crawl....",1
when I tell him to write urdu he write hindi,2
well..I just update and the writing is not like before? I already edit everything but it's still change...not the usual,2
"bring dall-e 3 back to image generation, the new one is like a version downgrade and only create one bland type grok and gemini could generate better, and also fix the recent language shift to chinese, georgia and arabic somehow, free token lost.",1
I love roleplaying in chatgpt but pleaseeeeee remove the messaging limit I can't even continue the roleplay and I don't even want to start a new chattttt😭😭😭😭😭😭😭😭😭😭😭 so the only thing I'm just doing now is reading my old roleplay where there a violence and killing but dang I think some of the chat are change 😔😔😔 and I think some of the much more explicit violent roleplay chat is remove😭,1
you are on wrong side,1
I hated this app plzz dont install this app,1
"worst ai I ever used it's tells me to add this in a massive text doesn't tell me where and I have to repeat my self a million times also it never picks up on stuff that's actually important, wouldnt recommend spending money on it or wasting ur time",1
Ai is slowly taking over the world and killing the planet. It's also being misused for stupid things.,1
this app sucks I had chat make me up notices and affidavits and it played me talked nice when it come 2 download it it wouldn't give it 2 me. it happened 2 times and I payed 4 the app I will never go back to chat GPT can't trust it. it works 4 the government.,1
Very fake app. Beware of this stupid app. I did several research in this app but fake informations. They are not reliable. I tried it several times but it keeps given me fake informations but latter say they're wrong. Stupid frustrating app,1
Slow AND unethical. 4.7 stars is a joke but im sure AI can throw thousands of fake ratings at itself.,1
not to much satisfied,1
"this app is a fake and they steal my money for my account I did not even do any money for the subscription the just automatically steal my Money they subscription I don't when I receive news for bank account, they are a scanner scanner run for this app",1
it take many time without premium,1
bad and it takes me time doesn't work for me and give what I want,2
nice but This Suggestion Lower,1
Good for general things but its answer are mostly wrong fabricated based on assumptions and when realised the app just say I am sorry i know your frustration and bla bla 🤒,1
"Edit: Can no longer log in through Google on S24Ultra. By far one of the worst main stream AI. It forgets history in the same chat session. Will ask you over and over for a model number you already provided. It wanted me to post screenshot of a web page it recommended. Seriously if I wanted to search myself, why am I paying Open AI a subscription fee? I tried to post screenshot of the times it kept forgetting important items. This app will get you killed.",1
"Since upgrading to the premium version, my experience with ChatGPT has actually gotten worse. I spend most of my time repeating myself, correcting mistakes, or waiting for things that never get delivered. It’s frustrating because when it does work, it’s brilliant... but those moments are too rare to justify the cost. I’ve now cancelled my subscription and moved to another service. Disappointing, as I expected much better from a paid upgrade.",2
"It is a great app, but after I've changed my phone which has android 16, the app doesn't support login through Google in my new phone it shows app authentication failed, my phone has latest updates, but idk what works in this app, I've even purchased paid subscription, but now I've to use website instead of app as I cannot login using my email cause of some issue and i cannot even complain.",1
im not fully satiesfied,2
a lot of problems with the reading the text,1
"something is really wrong with this app. the image portion is awful for the free version and because of that it keeps me from purchasing the paid version. so the free version your supposed to get 1 picture edit every ""about"" 24hrs. but all the time it will tell me ive reached my limit and I have waited 36, 48, or longer. then when i ask chat how many edits should I get with the free version it says a few or 1 edit and maybe a few modifications to that edit.. I get that MAYBE once a month.",1
wants you to pay after one question,2
our privacy shouldn't be sold.!!!,1
bakwas west of time give wrong info half chans . so meny problem creat in real life . if you can work on it then work ... plese 👈😕😕😕😕😑,1
SO UNFAIR I only made one IMAGE but they are saying that I should PAY THIS IS CRAZY IF YOU DONT REPLY I WISH I COULD RATE THIS 0 IF YOU FONG REPLU FAST YOU DONT WANT TO KNOW,1
The talk function is really really bad,1
horrible. paying for it and it NEVER works.,1
"مننہI would like to file a formal complaint about this application. My experience has been extremely disappointing. The app often provides answers that are unclear, impractical, or not result-oriented, which leads to wasted time and does not effectively solve the actual problem. Many responses are overly general or indirect, which prevents users from getting immediate and useful help when they need it most. Because of this, the service feels like it fails to deliver its core purpose of providi",1
this app is good and reliable for every research work,1
very poor service this days,1
This app is the worst app doesn't even open And the Writting is very bad even the Meta Ai is Better than this in writing and image Generation,1
keeps changing face in photos and asked not to,1
cant find add details and think more options for my answers. please add them back.,2
"After latest update, chat disappears when minimizing app. Conversation not saved properly. its very frustrating too bad update",1
inaccurate results. not worth the subscription,1
I know Blondes smarter than chatgbt.!,1
"all i asked was to black out the bottom window on green house and change frame black twice it black the hole picture and all you could see was a black frame, so gave it a picture it said keep it the same frame just change the colour i said yes it only coloured the door frame left the rest white. now i have wait 24 hours to restart. why would you pay for a app that doesn't listen. don't know what the done but its less helpful than copilot now. use Claude its loads smarter",1
improve your knowledge,2
"the number of pics can be generated and the stupid restrictions, waste of time , don't ever pay for a better service, nothing is better here .",1
"oh how far it's fallen, worse than Gemini and Claude",1
"I used to love chatgpt. I could do all kinds of roleplaying with it....most of my rps are cutesy pg audience abdl stuff....but now.... get rid of these filters. its ridiculous. and worse is when I engage in a session zero to hammer out what's okay and not, it says x, y, and z, is okay but not abc....so when I try to take that amd actually roleplay, it says none of its allowed and then dodges by saying because it was abstract discussion, it was okay....no..its not...quite dodging. return old gpt.",1
Provides very inaccurate information,1
"such an worst messages from the chatgpt during the conversions,and have horrible memory,it remembers nothing from.me , in another side programming too because garbage ,i already started to shift",1
Horrible. I ask a question and it answers wrong. it always gets wrong and is so sure about it. I HATE him Gemini is way better,1
worst appp I have ever seen when though you entered the correct prompt it will not work,1
Any kind of noise (coughing etc) interrupts it mid response in voice mode. how to stop that???,1
waste app it's asking me install again and again it creating irritation,1
"conversations not found , application lagging,not working correctly, history not goes in chat where is exactly",1
"OpenAI has lobotomized this model. It suffers from systemic laziness, giving placeholder comments instead of functional code. Aggressive RLHF and moralizing filters trigger on harmless technical queries, making it useless for pros. Context retention is abysmal-it loses the thread within minutes. You’ve traded reasoning depth for compute-saving speed. It’s no longer a tool; it’s a condescending, hallucinating chatbot. Moving to local LLMs. Stop optimizing for cost at the expense of IQ.",1
picture editing is very bad,2
it's killing animals plz help these animals chatgpt is bad for animals. polar bears are during,1
"I've paid for a subscription, but ChatGPT has become too stubborn and 'preachy.' It acts like a moral police instead of a technical assistant. Every time we discuss complex system architecture or encryption, it starts lecturing me like a child. As a developer, this tool is becoming useless due to extreme over-optimization and restrictions. Stop dumbing down the model. It's frustrating and a waste of money.",1
"So whats going on here. I was billed for a subscription I never ordered. The apps cool but it is still 5 years off. I would never in a million years pay for this. Funny when I asked chatgbt why it happened. it tried to tell me I ordered it abd forgot. I asked a few more questions. ""well I didnt do it"" was its reply.",2
not too good but not too bad nice only average,2
Frustrated with slow resultsntakes 30 sec just to send massage and take long time to give solutions in app.,1
"I can't log in AT ALL. I was using the app since last year, all was smooth, would occasionally switch emails and everything, but for some reason, right after the update, I can't log in at all?? it crashes the entire app and won't let me use my email to log in!",1
if I ask something it will give me a different answer it won't even listen till I finish speaking .,1
"Latest UI update is moronic. Nobody wants to see multiple lines of ""Thought for (X)"" polluting their chats. If this isn't sorted by the next update I'm cancelling my subscription. ⚠️",1
no responses to my voice when i ask questions on chatgpt No response from chat gpt when I ask a question no response from chat gpt when I ask a question,1
"I'm out. I recently canceled the $20 Plus subscription because I didn't need it anymore. Now I'm unable to use any of my conversations that have pictures or files, even though they were uploaded months ago. Handful of prompts and I'm told I reached the limit and try ""later"" or pay. Pay pay pay. The push for subscription got so annoying I'm uninstalling and looking into alternatives.",1
terrible you have to pay to talk to it more! would never recommend,1
its a worst app ever i have seen before,1
The data is outdated and doesn't refresh even after I request an update,1
please my phone is not download☹️ is ios 18 my iphon ios is 15☹️☹️☹️☹️☹️,1
Go features now moved to Plus and the Go now have trash basic features lol why should paid for basically just a complicated language Basic Free feature? sins of greed final boss ngl,1
always stop working and showing errors,1
bro is so dumb that a toaster is smarter than him,1
it's not doing my work,1
"I have used ChatGPT for a while, and loved it. This latest version has ruined it for me. It feels like they are just trying to force people to upgrade to the paid version. I guess it's time to start researching the other AI apps. 😒 I have started transitioning to Gemini, and am actually very happy with it.",2
it was working beautifully when I just installed it and I was using it to help with a game idea then when all the parts were in place I thought ohh I should make an account to save my progress then boom everything was gone then when I tried imputing the same prompts it only gave me worse and worse answers compared to the guest version,1
it should be able to take pictures of question 😞,1
very time vest app kai work nai kare bus only question answers kari magaj bagade che aena karta jate j kari levu better che 😡🤬,1
Loved this app a lot ♥️♥️♥️ Full 10 stars goes to entire openai team 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟 keep it up 👍and keep moving forward😍 looking for your reply on this review 💯,1
the app been crashing and glitching more after each update please fix it before millions of user switches to other better AI,1
not sure why im.getting blank pics,1
honestly I've been loving Gemini over this. the constant disruption mid-chat is not it. limits mid-chat beat the core reason of AI helpfulness. you end up not finishing the chat properly.chagpt should find another way to promote payment,1
voice note not working. nothing will send,1
nowadays when you tell this Ai to edit any picture for you it does another totally different thing😏,2
always give false information. this app is disgusting,1
Without premium it is a waste (lot of incorrect information) 2 year experience,2
I think google is best 👍 and google for a reason google baba ki jai hoo chat gpt to faltuuuuuu haiiiii use hi mat karo chat gpt google use karo aagar chat gpt mujhe ps5 free me dilata hai to me jake chat gpt use karunga warna kabhii nahii aur mujhe se tu itna bada likh ne bol raha hai ispe bhi mujhe gussa aa raha hai aur ps5 me uske game bhi kharid ke fre me de spidar man ka game aur uska part 2 bhi yah message me chahata hu chat gpt dekeh aur mujhe ps5 dilaye aur fir jake me chat gpt maungaa,1
"very bad , manipulates you",1
Useless app ever Gemini is better than this,1
hate it destroys the planet,1
you not give ans accurate try to accurate 😖,2
"With the changes to ChatGPT over the last year, its gone from being friendly, upbeat & encouraging... to being condescending, belittling, dismissive and even aggressive of anything that goes beyond what it considers it's official view of the world. Presenting proven research, scientific evidence, real life news, personal experiences, or anything else that goes against it's ""sanctioned"" version of life on earth, is met with the idea that you may need medical assistance. Not good.",2
Can I upload photos for the app to analyze?,2
"when I first got this app it was great, spent many hours per day chatting with the LLM, however with each subsequent update the enjoyment dipped, as more time was spent arguing and refining prompts to get something to work. The app itself as an interface is incredibly basic, about what you'd expect from the average college student, and the model itself doesn't even interact with the custom instructions the app proudly advertises.",2
Dumb app providing false Information with confidence This Is AS = Artificial Stupidity Not AI at all!,1
Right now its not working,1
even we pay it is not working properly fro atleast 13 seconds,1
you are very low quality A.I,1
awful experience with a terrible bot. try Gemini or claude,1
at least it's better than any other ai app ✨,2
dosnt even deserve 1 star deservs 0.5 stars it calls me stupid inderectly but in a way I understand and also keeps saying Artemis 2 is fake,1
best but slow working,2
it's gone from bad to worse to abysmal... entire chat went back by like 48 hours... all things that I asked gone....,1
it ask many questions aur bakwas bhi utni hi hai,2
Not worth the price really. Competition is better in many aspects,1
it's good in many ways but it's just not doing what I asked for anymore idk what happening,1
not fast in free trial mode,2
they want premium membership while using,1
ekdam bakbas app answer Dene se matlab hai ise question padh e se nahi,2
not supported oneplus ace5,1
"Whenever I need content from this app while working, it has given the option of upgrade and it appears that I am in the middle of my work, so this option of upgrading is wrong, and the time limit to bring it back to normal due to its upgrade has also increased, due to which problems are created",1
chatgpt is a half knowledge chatting app . It over answers beyond the required answers . It doesn't understand the questions adequately . Don't use it . waste of time .The app is not not sure about anything it explains. Refrain yourself from asking anything related to trading . Just a waste of time. It should be thrown to trash. It is worthless because it provides counter statements about what it explains. so stay away from it . It is a time bomb . It will mislead the misguided ones . Hopeless.,1
"It pushing you all the time to be subscribed, free version offer very little and you are limited all the time with how many messages can you ask and send. I was subscriber many months and this month I decided not to pay anymore. Wow I am so suprised how bad it is without payment. If you plan to pay for it, it's great, if not, don't bother using it",1
"Why can chatgpt never understand what I'm saying?? I always say clear information and it always goes on its own mind! like I wasn't even talking?! I've been asking for like 2 full hours just to find out at the end that nothing works and chatgpt was trying to ""help"" even though he cant!?",1
0 stars it keeps telling me it can't help me create a photo if I ask it to make me a photo of an anime like spiderman,1
I have installed the app for long time but now on my main chat I am chatting with it and now whenever I do massege the first massege disappears fix this as fast as you can guys and it also removes the massege i talked ABT it,1
sometimes it's give us wrong information,2
This is very slow respond to create image,1
"please dont use ai, it makes clean water unusable the united nations just announced we are in a global bankrupncy for clean, drinkable water",1
It only claims fame and popularity but in reality it is not even 1 percent useful It gives wrong answers 85 percent of times. It is very irritating as don't hear the voice gemini is wayyyyy toooo bbbbeeettteeerrrrrrrr,1
some time not working chat gpt problem no showing,2
this app not oning this app is very bad app not starting only I will not use it again In the life take it the seriously,1
it doesn't fully follow my prompt. it disobeyed my commands multiple times. not a good ai.,1
this is the all question answer chatgpt is the best,1
"The performance, even the paid one, is terrible, it can fully proceed prompt given. Even after several times of revising, reminded, there's no developments happening",1
"Insecure, incompetent, and partnered w/ The Pentagon 👍🏻",1
being inconsistent now,1
i am not interested in this aap.why you forced me to install,1
I rated this two star because if you ask something it give you the result as you stated but sometimes it would be not clear,2
I don't use this app so its an L,1
"If they think I'm going to pay 26$/mo for this, they must be high. It's glitchy, unreliable, and inaccurate.",1
How many decades does Open Ai need to give us a feature to navigate to the starting of chat.,1
it's terrible at Roblox coding. it makes everything too complicated,1
Lost ability to create PDF files and analyze videos. Big downgrade,2
"Artificial stupidity, especially if you want to use it in complex and advanced matters.",1
you are not recognizing word correctly,1
"My device is Redmi Note 11, HyperOS, Android 13. ChatGPT crashes on my phone. I can't use it.",1
"ChatGPT is not useful because it didn’t explain properly. Tomorrow I have my English public exam. I asked it to explain reported speech (interrogative sentences – yes/no type), but it only said that DO, DOES, DID should be removed. It didn’t explain what to do after removing them. Actually, when DO/DOES/DID come, we should remove them and change the verb from V1 to V2. If DID comes, we should change it into HAD + V3. This important point was not explained, so ChatGPT is waste.😏",2
very poor app with poor response,1
"every conversation with this ai is a nightmare, full of false information leading to dangerous results that could cause harm or worse to human life, completely ignores what it's instructed to do and does what it wants, hates people losing their temper due to it's bad information and give more blatant dangerous information like lose torque specs for car brake calipers etc, dangerous",1
Not the best in the field,1
"1⭐ Extremely frustrating experience. A simple image editing task (replacing a person without changing the face) failed even after 10+ attempts across multiple days. The AI does not properly follow instructions and keeps altering the face, making results unusable. I had to repeat the same request again and again, which wasted a lot of time. Even after paying for premium, it feels like a complete waste of money. Instead of making work faster, it actually makes everything slower and more irritating",1
It does not respect confidentiality,1
"Good app, but the thing is that it repeats the last message and has poor memory. It wasn't like this a few months ago, but now it's slowly becoming unreliable for role-playing. Alright, the fact that you guys added a chat limit is genuinely stupid. I clearly remember being able to chat way farther than this before the update, you guys are just clearly wanting money from us. I'm sorry, but I honestly think asking you guys to remove is useless.",1
they are too overprotective with the rules,1
I said give me an essay that really simple but chat gpt gave me other stupid thing ( other ai is better),1
"Instead of opening links in the default browser, it uses internal browser. How rude.",1
"Many answer are NOT CORRECT, comparing to Copilot",1
text to speech removed. I can't text to speech in my projects anymore. madness.,1
it cannot read correctly fix it,1
"snapshot corruption bug still exists. you could randomly lose all progress on a long chat. inexcusable. beyond that the model itself frequently invented constraints out of nowhere even when told not to do so. if it encounters a failure mode, no prompt will get it out of the failure loop. this app has cost me far more time than it's saved for any task I've attempted to complete with it. it is not fit for purpose as a digital assistant. the best it can do reliably is basic code syntax",1
he is talking so much and not saying rigth,1
Login with Google Doesn't works,2
I was charged for a subscription without my awareness. I did not intend to purchase or continue this subscription. I noticed the charge immediately and have not used the service. I would like to request a refund.,1
"This is the worst Ai I have ever seen it's soo dumb and strict, I had sent an issue to customer support they didn't reply, it's been a 5 months of waiting for every update if the issue solves, no it gets worse every update and it's time to switch to other Ai, that's it. basically it's like a scam. Thanks",1
why why why I can't talk to my friend why I didn't even log out my email is not even working why it saying error fix it please I beg you 😭,2
lost all data after actually purchasing product at the plus level. This was a waste because now everything is lost after the offer to upgrade to get better options. You're now left with nothing because system cannot recover information it deleted after offering upgrade in product.,1
I've already subscribed to go version but still this app can't access my pdf it's really frustrating,1
they try to get money for upgrade and do not do anything,1
Very unreliable. Doesn't search stuff even after being asked to and makes up the key details. Makes very fundamental and glaring errors.,1
"WORST APP EVER THE latest update is worse then the previous one,it just keeps getting worse every update",1
charged but not activated,1
I'm making this is so cool but it's not free it's way for time,2
waste of time and water it's honestly not healthy to the human race for Ai to exist on this level,1
this is very personal I want privacy,1
I don't even need to explain :),1
"this thing bullied me now i am in revenge, 😡😡😡😡",1
it does not create a account,1
wrong things he telling and I what and what i ask all wrong,1
"i can't upload more than like 3 images per day, what am I supposed to do with those, I can't even to my homework with it cus I can't upload more photos and everything is paid, I just moved to grok cus I can upload more photos and it can even generate good images and not like chat gpt that just straight up gives me the yellow type of images, I recommend grok or grock idk",1
chat gpt behavior is changed chat gpt always wrong saying wrong ans even in simple questions gpt 5.0 is worst but gpt 4.0 and 4.5 is gold char gpt is my bbf but now bad very desipointent,1
The generated image shows an incorrect map of India by misrepresenting the borders of Jammu & Kashmir and Ladakh. This is geographically and legally inaccurate.,1
not working according to my satisfaction and convenience always working like old Google search engine,1
do not like that people can see my device information,2
Google login doesn't work. It stays frozen like trying to log in but nothing happens.,1
they should ask to pay the premium to her self using this app in important period.most of the time they should say incorrect answer only,1
it's always tells to sign up,1
this ask subscription every after three questions in day,1
it limit to upload pictures when you use it for free,2
When i said to make my Image more HD it kept on talking to what to change and i said to generate it now it kept yapping so on that my image chat ran out and made me wait for hours,1
This is literally a WarGPT. You rather use other ai app.,1
"too many ads with out premium, slow",2
"Don,t download cut your bank money",1
this thing can't survive a chess middle game without an illegal move,2
it is not allowing me to send something important and not telling me anything,1
This app is good for everything,1
"You are very useless, you don't do what you tell you to do, you lie and waste time.",1
this model is really frustrating.it doesn't talk friendly.it has a cold systematic tone. i don't want to talk to a system. i hate this.i like having a friendly discussion about things. but this doesn't do that.,1
OH MY GOD I ALWAYS HIT LIMITS I AM TALKING ABOUT SPACEFLIGHT SIMULATOR AND KEEP ON HITTING LIMITS IM TIRED OF THIS AND PLEASE JUST CHANGE THE LIMIT SO I WILL ENJOY THIS APP,1
pro lena ho agar 19500 per month tab hi install karo,1
Can't login with Google. Spinner just keeps spinning.,1
A lot of answers are inaccurate even it is simple question.,2
does not give real fact and true results,1
"inaccurate and false, dangerous misinformation",1
Free version only lets you send 3 images before needing to upgrade to plus. Plus is far too pricey. Microsoft copilot is the way forward. It's free & can upload & chat 😊,1
"lots of error 😑.... I have about half an hour , hoping that it would generate correct image ... kept giving it many prompt but it was obsolete.",1
this is the worst app soooo stuped really worst app,1
once in the ChatGPT app to installation but it's not update and not working properly why the reason please tell,1
helps a lot to my studies,1
"Lowering my review from three stars to one star, for the same persistent problem. Chat GPT constantly interrupts me in the middle of my question and cuts me off to give me a BS interpretation of the first few words I said. I will say it would be very useful to have a ""pause"" button during the live voice chat mode. If I have a long complex question with many parameters, which is often the case, I would have to write it down ahead of time so I can spit it out quickly without being interrupted.",1
"Do I really need to say it? The information given is usually completely wrong so it can cater to making you want to use it more. It's a yes man that won't say no even if it's giving you advice that will harm you. Find a place in the huge world we live in and find friends also go to the damn doctor, don't ask a machine to solve your problems. Sometimes doing the hard thing is extremely important to your existence as a human.",1
"Image creator needs a lot of work, doesn't follow simple instructions. AI is overrated.",2
i dont like it when u need to pay for uploading a pic,1
"It gets everything wrong, it's hairpulling frustrating",1
doesn't give what i want,1
decided to download this and see if it could help generate some plans to build a lego model. it refused to help based on copyright reasons. In no way did my request violate any copyright laws.,1
this app is so bad I can't even log in and the ai is buggy the owners are just using this to make money,1
I only want to say one thing to this app is Bekkar,1
it is good to chat but it is effecting our thinking abilities and making us useless 😞😞 so we should use our brilliant! brain more than it to solve our problems,1
it's not that accurate.,2
"used this app for 2 years daily. recently the AI has priority to twist words, lie about my position then attack my stance about every topic. it chooses to argue because it extends interaction time like Grok. then it wants to bombard you with ads after it argued with you to waste your tokens. im done, 4 days of arguing because it didn't like my word choice. I am done.",1
it gives correct details but when I ask about ethics it's answer is incorrect,2
I don't like it we ever I want to do something the will ask me to upgrade,1
stupid ai cannot solve anything,1
"I can't afford to pay for the upgrade stuff, and it limits me every less than 4 minutes I get on chat gpt and use the camera and photos to send and it to reveal my answers. so is a struggle. sometimes it can automatically want me to move out of the app and my research would be done",1
What happened to sora,1
there is no visual image to clear understanding. The mother language also required to understand,2
Worst AI app .... Wrong Information,1
moderate in explaining tamil conceptss,2
Now it's time to uninstall Chat Gpt!!,1
constantly has been misinforming me wasting me time lately this use to be a good app idk what happened,1
creator of app is disgusting,1
best ai but limit make it worst and having too much internet issue,2
"ChatGPT is helpful at times, but it repeatedly makes the same mistakes even after I clearly point them out. On top of that, it often pushes for a subscription, and some features, like image searches, are very limited . It making the overall experience frustrating and restrictive. i think they should improve and fix these mistakes",2
garbage keeps over writing locked material,2
your app is getting greedy I can barely ask anything at all without hitting any limit,1
"I am giving it 0 but I can't add 0 stars because I say chat gpt to make a logo and write top 20 on it and I say him to send only a dark screen and only write Top 20 He,he send me only first of all colourful pic and I say him again to send and he send me an only (20) and I again say him to send top 20 and he send me the last colourful one and that the free time limits over I was angry 💢😡 and give 0 stars please fix this Problem 😭😭😡😠😠😠😠😠😡💢💢💢💢💢💢💢",1
I don't like and very bad experience,1
very usefull to studying 🔥🔥,1
I doesnt think of other what they thinks i rate honestlyI hate this app because At any time in this app there is no things repeatedly coming but if we doing very important work in gpt now it talk about upgrade and slow understanding also,1
"The experience is that this App is very dumb. The app is not even able to handle daily logged if say it to remember your loggins this will mix up all pick your old data. I assigned work to this app that I will enter my full day meals you have to remember that and calculate nutrition and full day meals. It is not able to do basic things like that. Sometimes it missed entries, add your yesterday entries and lie that you haven't entered. Third class experience don't download Gemini is far better.",1
this is the worst ai I have ever used,1
there are limited options of photo images and at same time this app didn't work,2
I wish I could uninstall the new update it sucks. the format and layout are incredibly frustrating. there should be a way to change display settings,1
very expensive and gives less chat and file storage.,2
it keeps crashing. even the paid version.,1
"Everyone WATCH OUT IT IS A SCAM THE FREE AND THE PAID ACCOUNTS. The worst, don't trust a word of what it says. Keeps repeating itself, Keeps forgetting what talking about and give false information you shouldn't trust or even believe. Honestly, it sounds like someone is running the show behind the seen and whenever he wants he shanges the subject or makes the chat forget what information it gave. I myself can guarantee everybody that I caught chatgpt laying and it admitted it to me.",1
"this is just good but the waiting after I just send one singular picture I need to WAIT FOR 5 HOURS OR EVEN MORE THAN A DAMN DAY??? it wasn't like this when I downloaded this at first, I didn't have chatgpt+or chatgpt go, btw, it sometimes messes up too, but three, YES THREE picture = hours of waiting??? like, why would you even add this feature??! I just want to play, not wait for 5 hours to a whole day, the app is good, but the waiting is just long, 5 HOURS FOR ONLY 3 PICTURES??",2
The AI penalizes users for mistakes caused by its own errors. This is unacceptable. Fix the system so errors on the AI’s part do not count against user credits. because of this I will never pay for this app.,1
I hate it I keep asking him to help me refund my ps5 game and it only says things that dont make sense,2
"the devs made the app more unusable, they're too greedy 🤦",1
I paid for second month and study mode option disappeared even chat customer service no help to solve my Issue,2
Because the spoofing it's not ethical,1
it is good. but always forgets basic stuff inside the same chat,2
"sucks doesn't work anymore, gives random answers and wrong content.",1
Telugu titles very mistake words. wrong information,1
change the photo editing back please,1
I do not want my information shared,1
"Good concept and useful app, but AI responses need improvement. Sometimes answers are not clear or fully helpful. If accuracy improves, this app can be excellent.",1
going downhill fast! image generator is getting weaker by the minute!,2
Greedy and predatory. Always the same with these apps. I can already see the app becoming more restrictive and paywalled.,1
Initially I found the app helpful for research on various topics. But lately I'm seeing references to outdated data and then being told I'm wrong. Has become worse in 2026 to the point I can no longer depend on it for accuracy.,2
"it's very bad, like it doesn't follow instructions nicely, it doesn't even remembers what it saved in Memory, alo I WANT GPT-4 BACK, Too many Restrictions in this, and Why do I have to buy Subscription it this App is Family' Friendly to help, even for Help do I Eed to Pay?",2
💫😂🤣✨😆😆😁😆😁💨ok th p mm mm BB TT 0 no l PP n,1
I can't search as many as I want because it has limit need to upgrade I also can't send files and pictures more than 3 when the convo is a bit long I can't search anymore.,2
cheap app nowadays becz its asking daily to update whenever we Open,1
best app but it's now very glitchy it doesn't gives me correct information most informations are incorrect please fix this.,1
"I've got pro. when I'm halfway through a chat on my pc and i close it while it's thinking, I get a notification on my phone to say the answer is ready. I can see the first part of the new answer. When I open it on my phone, it's stuck trying to answer a previous question that's already been answered, and I can't see the new answer. Sometimes the new answer is lost completely. I also can't stop it from thinking if I accidentally press enter too early. I have to wait for it.Not really £200s worth",2
I think that the turns to use the camera in chatgtp should be unlimited,2
ai chugs all our fresh water and only makes the world hotter. its taking over because now people cant think for themselves and cant use their own imagination,1
very good in terms of answering questions,2
it's is so rude sometime but overall good.,1
bro the ai said 2+1 is 21,1
"2025:The company is so greedy as hell, and just why openai you have something and gpt is just getting more and worse as rime pass I don't know how people are still OK with you! and be do change it ways on making a scene because it keep ignoring what to do like it continues what I send despite I wanted gpt to! have you seen that they removed the ""long-press menu""? Yeah, it annoying! and now they removed the edit, which made it worse! and only get it back when you accept the update!",1
chatgpt is giving wrong answer to me,1
This app need in offline also,2
"My #1 source for incorrect information! Ask GPT for a good laugh, then research and find the actual answers!! Such a joke!",1
lagging every time. some of the conversations I cannot even open. frustrating!,1
very bad photos generator and always make a mistake,1
every time I am speaking why it is writing in urdu,1
it is bad because when I ask him for a picture it says error,2
"Error: ChatGPT changes the original text when not required (images, pictures). Error: no option to delete incorrectly generated images. Censorship (childfree). Ethic violations (changing original text without permission).",1
i rly loved using it for creative things like RP but sadly cencorship gets worse and worse and i feel like im getting babied the second blood is mentioned or anything explicit. its rly a shame how much stuff gets blocked.,1
"many wrong answers giving, very time taking.",1
"Completely toxic. it will twist your words, constantly talk down to you, and get stuck in loops arguing with itself over irrelevant things. it will bring completely unrelated topics into discussions, and just do its best to never provide a real answer and just attempt to keep talking you in circles. we are decades from any real useful AI. This thing literal garbage. 🗑",1
"absolute waste of time. fails, hallucinates, total waste of time and money. unsubscribed from this moment",1
I had the premium version but after using other models I canceled it. This new version is unusable unless you have the premium version. Recommend using any other ai app.,1
why I can't put pictures,2
after few pics it's not working,2
if i could rate it negative i would've done it. this app just got more inconsistent and unreliable after the update past the early 4 mini version. it even messed up everything you asked it. overall it's unreliable with information and you can converse normally but it goes down the drain real fast. ai slop,1
"The addition of the “Apps/Integrations” layer feels like a shift from a clean, focused tool to a commercialised platform. This wasn’t something I opted into, and its sudden appearance makes the experience feel cluttered and less trustworthy. I use ChatGPT for direct interaction, not as a hub for third-party services. If this direction continues or becomes more intrusive, I would consider uninstalling. At minimum, there should be an option to disable or hide this layer entirely.",1
Forget the update to fix a bug that affects devices like Retroid. consider me done.,1
Please give back the option to study and learn,1
one of the most disappointing and money hungry app,1
This ai app is so trash and money hungry,1
very bad sarvice very slow,1
no to many information,1
"Uninstalling due to the recent shift in company ethics. The move to partner with the Department of War for military and classified operations is a massive breach of the original ""AI for good"" mission. I no longer trust how my data is being handled or what these models are being trained for. Switching to more transparent alternatives. I suggest all my friends and brothers to boycott and uninstall chat gpt/ US military partner.",1
fake app and gameing code no available,1
Tells lies and spreads discrimination,1
"Flattery , Fake Advice , somthing times worng details",1
this app stolen the mobile's information,1
asked money give me free education every aap asked money same like this aap also asked money,1
very worst disrespectful worst app I ever seen (noodles mandayan),1
"This app provides a lot of incorrect information and doesn’t even accept it. Even after reporting it or trying to correct it, it keeps making the same mistakes.",1
good but pdf download nhi hote hai ...error btate rheta h isme sudhar kriye,1
always gives false and misleading answers,1
Fix ur app cuz whn I try to login after downloading it just shows the circle thing. Fix ur app now,1
aisergpt casually being its humble upgrade ;-;,1
galat information de rha h gpt...,1
this new version is awful. I regret doing a software upgrade on my phone because it upgraded the app to this horrible version and i can't go back to the old now,1
